Puzzle_size,Number of shuffles,Number_of_moves,Time,Heuristic
4,20,9,0.001020908,Manhattan
4,30,9,0.000946999,Manhattan
4,40,13,0.001510859,Manhattan
4,50,7,0,Manhattan
5,10,5,0.001505375,Manhattan
5,20,9,0.001502752,Manhattan
5,30,15,0.005093098,Manhattan
5,40,11,0.000999212,Manhattan
5,50,15,0.003510714,Manhattan
6,10,3,0,Manhattan
6,20,11,0.001997471,Manhattan
6,30,13,0.002514601,Manhattan
6,40,19,0.01509738,Manhattan
6,50,21,0.022812843,Manhattan
7,10,3,0,Manhattan
7,20,13,0.004029036,Manhattan
7,30,15,0.008536339,Manhattan
7,40,13,0.011177301,Manhattan
7,50,17,0.005237341,Manhattan
8,10,7,0.001996994,Manhattan
8,20,7,0.002001762,Manhattan
8,30,15,0.005512714,Manhattan
8,40,19,0.011498213,Manhattan
8,50,21,0.011142254,Manhattan
9,10,5,0.002514362,Manhattan
9,20,15,0.006981611,Manhattan
9,30,19,0.013870716,Manhattan
9,40,19,0.023514986,Manhattan
9,50,25,0.016547918,Manhattan
10,10,3,0.001008272,Manhattan
10,20,13,0.008022785,Manhattan
10,30,13,0.008619308,Manhattan
10,40,29,0.074667215,Manhattan
10,50,33,13.17412043,Manhattan
4,10,3,0.000995636,Hamming
4,20,9,0.001006842,Hamming
4,30,15,0.007697582,Hamming
4,40,15,0.025548697,Hamming
4,50,19,0.292309999,Hamming
5,10,7,0.001996279,Hamming
5,20,9,0.00100565,Hamming
5,30,15,0.016819715,Hamming
5,40,21,8.214948177,Hamming
5,50,17,0.331962109,Hamming
6,10,9,0.004481792,Hamming
6,20,7,0.001998901,Hamming
6,30,23,0.67655015,Hamming
6,40,11,0.007576466,Hamming
6,50,11,0.005462408,Hamming
7,10,5,0.001120567,Hamming
7,20,7,0.001996279,Hamming
7,30,5,0.000994444,Hamming
7,40,11,0.005019665,Hamming
7,50,23,11.76422572,Hamming
8,10,7,0.002523661,Hamming
8,20,7,0.002051592,Hamming
8,30,13,0.033319235,Hamming
8,40,25,2.662669897,Hamming
8,50,19,0.008511543,Hamming
9,10,9,0.004552841,Hamming
9,20,13,0.004707813,Hamming
9,30,15,0.260680437,Hamming
9,40,17,0.067089558,Hamming
9,50,25,0.131067753,Hamming
10,10,3,0.001850843,Hamming
10,20,5,0.002253771,Hamming
10,30,17,0.487473726,Hamming
10,40,13,0.004595518,Hamming
10,50,19,0.009899378,Hamming
4,10,7,0,Manhattan
